,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,surface_temperature,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,runoff,cape,total_column_integrated_water_vapour,shortwave_radiation_instant,direct_radiation_instant,diffuse_radiation_instant,direct_normal_irradiance_instant,global_tilted_irradiance_instant
0,2026-03-07 00:00:00,-4.3,75.8,-8.0,-8.0,0.0,0.0,0.0,1.0,1029.2,928.8,25.4,0.5,22.5,0.0,0.1,1.1,0.8,72.7,273.3,2.1,-10.3,-2.5,0.2,0.2,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0
1,2026-03-07 01:00:00,-5.2,74.1,-9.2,-9.3,0.0,0.0,0.0,1.0,1029.6,928.8,33.2,1.1,13.1,0.0,0.1,1.6,0.6,62.4,304.6,2.5,-11.4,-2.5,0.2,0.2,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2,2026-03-07 02:00:00,-6.0,73.2,-10.0,-10.3,0.0,0.0,0.0,1.0,1029.8,928.8,38.6,1.8,5.6,0.0,0.1,2.1,0.7,57.2,344.1,2.9,-12.3,-2.5,0.2,0.2,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0
3,2026-03-07 03:00:00,-6.6,72.4,-10.8,-11.2,0.0,0.0,0.0,1.0,1029.7,928.5,34.2,2.5,1.9,8.7,0.1,2.5,0.9,57.5,38.1,3.5,-12.9,-2.5,0.2,0.2,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0
4,2026-03-07 04:00:00,-7.0,70.5,-11.5,-11.9,0.0,0.0,0.0,1.0,1029.3,928.0,26.4,3.3,0.9,22.5,0.1,2.9,1.2,58.9,54.6,4.1,-13.3,-2.5,0.2,0.2,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
5,2026-03-07 05:00:00,-7.5,69.6,-12.1,-12.6,0.0,0.0,0.0,1.0,1029.1,927.6,28.4,3.9,0.0,37.9,0.1,3.3,1.3,42.7,60.3,4.5,-13.7,-2.5,0.2,0.2,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0
6,2026-03-07 06:00:00,-8.2,67.7,-13.1,-13.4,0.0,0.0,0.0,1.0,1029.1,927.4,52.0,4.1,0.1,60.2,0.1,3.4,1.3,42.1,60.3,4.8,-14.5,-2.5,0.2,0.2,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0
7,2026-03-07 07:00:00,-8.8,65.8,-14.1,-14.2,0.0,0.0,0.0,3.0,1029.3,927.3,84.4,4.1,0.4,86.2,0.1,3.5,1.1,42.7,59.6,4.8,-15.4,-2.5,0.2,0.2,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0
8,2026-03-07 08:00:00,-8.8,64.9,-14.3,-14.1,0.0,0.0,0.0,3.0,1029.4,927.4,99.2,4.2,0.5,99.4,0.1,3.5,1.0,42.3,63.6,4.8,-15.0,-2.5,0.2,0.2,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0
9,2026-03-07 09:00:00,-7.6,65.0,-13.1,-12.7,0.0,0.0,0.0,2.0,1029.5,928.0,76.8,4.6,3.1,90.7,0.1,3.1,1.0,44.5,68.4,4.8,-12.3,-2.5,0.2,0.2,0.0,0.0,4.7,31.8,6.9,25.0,33.3,9.7
10,2026-03-07 10:00:00,-5.6,65.9,-11.0,-10.3,0.0,0.0,0.0,1.0,1029.8,928.9,35.9,5.1,6.6,70.4,0.1,2.6,1.0,48.0,56.2,4.8,-8.4,-2.5,0.2,0.2,0.0,0.0,4.6,142.4,47.5,94.9,302.0,132.9
11,2026-03-07 11:00:00,-4.0,66.9,-9.3,-8.2,0.0,0.0,0.0,0.0,1029.9,929.6,8.0,5.1,12.2,51.7,0.2,2.0,1.0,46.7,55.7,4.5,-4.9,-2.5,0.2,0.2,0.0,0.0,4.6,278.9,139.4,139.5,473.1,278.9
12,2026-03-07 12:00:00,-3.0,67.7,-8.1,-6.6,0.0,0.0,0.0,0.0,1030.0,930.0,8.2,4.2,24.4,38.2,0.2,1.1,0.8,45.6,54.1,3.9,-2.4,-2.4,0.2,0.2,0.0,0.0,4.6,443.1,287.9,155.2,673.8,443.1
13,2026-03-07 13:00:00,-2.2,68.6,-7.3,-5.3,0.0,0.0,0.0,0.0,1030.0,930.3,20.5,2.7,39.2,26.3,0.2,0.2,0.4,303.1,40.0,3.0,-0.3,-2.3,0.2,0.2,0.0,0.0,4.8,579.0,423.5,155.5,804.5,579.0
14,2026-03-07 14:00:00,-1.7,70.3,-6.5,-4.6,0.0,0.0,0.0,1.0,1030.0,930.4,30.8,1.5,50.4,15.9,0.2,0.8,0.3,224.9,346.9,2.3,1.0,-2.2,0.2,0.2,0.0,0.0,5.0,635.5,482.6,152.9,825.0,635.5
15,2026-03-07 15:00:00,-1.4,74.7,-5.3,-4.1,0.0,0.0,0.0,1.0,1029.8,930.3,35.1,0.8,54.0,8.4,0.1,0.9,0.3,214.2,33.1,2.1,1.6,-2.1,0.2,0.2,0.0,0.0,5.2,619.7,471.0,148.7,786.3,619.7
16,2026-03-07 16:00:00,-1.1,80.0,-4.2,-4.1,0.0,0.0,0.0,1.0,1029.4,930.1,38.4,0.3,53.7,3.9,0.1,0.9,0.5,198.4,64.5,2.2,1.6,-1.9,0.2,0.2,0.0,0.0,5.5,548.6,407.2,141.4,717.4,548.6
17,2026-03-07 17:00:00,-1.2,83.6,-3.7,-4.2,0.0,0.0,0.0,1.0,1029.2,929.9,37.1,0.0,48.7,0.2,0.1,0.7,0.8,181.7,64.0,2.2,0.6,-1.8,0.2,0.2,0.0,0.0,5.7,431.5,302.4,129.1,613.5,431.5
18,2026-03-07 18:00:00,-1.8,85.6,-3.9,-4.6,0.0,0.0,0.0,1.0,1029.0,929.5,26.8,0.0,36.1,0.3,0.1,0.3,0.8,113.2,57.7,2.0,-1.9,-1.7,0.2,0.2,0.0,0.0,5.7,286.3,179.6,106.6,472.6,286.3
