,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,surface_temperature,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,runoff,cape,total_column_integrated_water_vapour,shortwave_radiation_instant,direct_radiation_instant,diffuse_radiation_instant,direct_normal_irradiance_instant,global_tilted_irradiance_instant
0,2026-03-07 00:00:00+00:00,-4.2045,75.0,-7.9749475,-7.854838,0.0,0.0,0.0,1.0,1029.1,926.28485,26.0,0.0,24.0,0.0,0.11229238,1.0816654,0.5,56.3099,270.0,2.1,-10.35,-2.3545,0.226,0.198,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
1,2026-03-07 01:00:00+00:00,-5.1545,73.0,-9.2406645,-9.163563,0.0,0.0,0.0,1.0,1029.5,926.3026,34.0,0.0,14.0,0.0,0.11287251,1.555635,0.36055514,44.999897,303.6901,2.5,-11.55,-2.3044999,0.226,0.198,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0
2,2026-03-07 02:00:00+00:00,-5.9545,72.0,-10.188184,-10.305328,0.0,0.0,0.0,1.0,1029.7,926.1926,39.0,0.0,6.0,0.0,0.11013496,2.0615528,0.41231057,39.09386,345.9637,2.9,-12.5,-2.2545,0.226,0.198,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0
3,2026-03-07 03:00:00+00:00,-6.5545,71.0,-10.942994,-11.224796,0.0,0.0,0.0,1.0,1029.6,925.8839,33.0,0.0,2.0,8.0,0.108942956,2.5612497,0.6324555,38.65983,18.435053,3.5,-13.15,-2.2545,0.226,0.198,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
4,2026-03-07 04:00:00+00:00,-7.0045004,69.0,-11.733901,-11.9529915,0.0,0.0,0.0,1.0,1029.2,925.3597,23.0,0.0,1.0,21.0,0.11248891,2.9832866,0.86023253,39.55964,35.537766,4.1,-13.55,-2.2045,0.226,0.198,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0
5,2026-03-07 05:00:00+00:00,-7.4545,68.0,-12.347581,-12.626907,0.0,0.0,0.0,1.0,1029.0,925.01495,24.0,0.0,0.0,36.0,0.112148315,3.3301651,1.0630146,41.347687,41.185837,4.6,-13.95,-2.2045,0.226,0.198,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0
6,2026-03-07 06:00:00+00:00,-8.1545,66.0,-13.386992,-13.50737,0.0,0.0,0.0,1.0,1029.0,924.7574,49.0,0.0,0.0,59.0,0.112849966,3.5468295,1.0630146,40.425995,41.185837,4.9,-14.85,-2.2045,0.226,0.198,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
7,2026-03-07 07:00:00+00:00,-8.8545,64.0,-14.432241,-14.343586,0.0,0.0,0.0,3.0,1029.2,924.6781,84.0,0.0,0.0,86.0,0.11312471,3.6878178,0.92195445,40.601215,40.601215,5.0,-15.75,-2.1545,0.226,0.198,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0
8,2026-03-07 08:00:00+00:00,-8.804501,63.0,-14.576653,-14.268035,0.0,0.0,0.0,3.0,1029.3,924.7867,100.0,0.0,0.0,100.0,0.116720736,3.623534,0.84852815,39.400646,44.999897,5.0,-15.3,-2.1545,0.226,0.198,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0
9,2026-03-07 09:00:00+00:00,-7.5045004,63.0,-13.340101,-12.706366,0.0,0.0,0.0,2.0,1029.4,925.3562,76.0,0.0,3.0,91.0,0.12915727,3.2649655,0.92195445,40.030197,49.398785,5.0,-12.5,-2.1545,0.226,0.198,0.0,0.0,4.6,33.056255,7.3127737,25.743483,35.579556,10.069185
