,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,surface_temperature,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,runoff,cape,total_column_integrated_water_vapour,shortwave_radiation_instant,direct_radiation_instant,diffuse_radiation_instant,direct_normal_irradiance_instant,global_tilted_irradiance_instant
0,2026-03-07 00:00:00+00:00,-1.47,33.0,-15.684789,-6.0711203,0.0,0.0,0.0,3.0,1022.7,847.7476,80.0,0.0,82.0,21.0,0.3685478,1.868154,3.1622775,105.52418,145.30478,4.1,-6.05,2.1799998,0.271,0.289,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0
1,2026-03-07 01:00:00+00:00,-1.0700002,30.0,-16.478403,-5.6608195,0.0,0.0,0.0,2.0,1022.4,847.7284,68.0,0.0,42.0,49.0,0.39649457,1.7720045,2.8844411,106.38962,146.3099,3.9,-5.8,2.1799998,0.271,0.289,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0
2,2026-03-07 02:00:00+00:00,-0.5700002,28.0,-16.867031,-5.0794163,0.0,0.0,0.0,2.0,1021.8,847.51697,63.0,0.0,12.0,72.0,0.42299408,1.5811388,2.607681,108.43504,147.52882,3.6,-5.65,2.08,0.271,0.289,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0
3,2026-03-07 03:00:00+00:00,0.029999971,27.0,-16.78053,-4.3592,0.0,0.0,0.0,2.0,1020.7,846.94653,72.0,0.0,2.0,83.0,0.44801444,1.360147,2.1954498,107.10281,149.9315,3.5,-5.65,1.8799999,0.271,0.289,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0
4,2026-03-07 04:00:00+00:00,0.7299999,27.0,-16.174126,-3.5793056,0.0,0.0,0.0,3.0,1019.4,846.2641,88.0,0.0,1.0,88.0,0.47132102,1.264911,1.7888545,108.43504,153.43501,3.5,-5.7,1.5799999,0.271,0.289,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0
5,2026-03-07 05:00:00+00:00,1.2299999,28.0,-15.301645,-2.9179358,0.0,0.0,0.0,3.0,1018.7,845.96497,100.0,0.0,4.0,90.0,0.4819396,1.0440307,1.3928387,106.699326,158.96242,3.3,-5.65,1.3299999,0.271,0.289,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0
6,2026-03-07 06:00:00+00:00,1.18,30.0,-14.507003,-2.8929439,0.0,0.0,0.0,3.0,1019.1,846.26904,100.0,0.0,11.0,92.0,0.46689683,0.98488575,1.1401755,113.962494,164.74483,2.6,-5.95,1.1299999,0.271,0.289,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0
7,2026-03-07 07:00:00+00:00,0.9799999,32.0,-13.893753,-2.9918113,0.0,0.0,0.0,3.0,1020.0,846.9035,100.0,0.0,22.0,91.0,0.44709504,0.86023253,0.8062258,125.537766,172.87508,1.8,-6.15,1.03,0.271,0.289,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0
8,2026-03-07 08:00:00+00:00,1.3299999,32.0,-13.585147,-2.4685614,0.0,0.0,0.0,3.0,1020.8,847.76526,100.0,0.0,33.0,82.0,0.45849988,0.56568545,0.53851646,135.0001,201.80147,1.6,-4.65,1.03,0.271,0.289,0.0,0.0,3.7,38.691956,1.8856004,36.806355,10.799547,20.86977
9,2026-03-07 09:00:00+00:00,2.8799999,28.0,-13.86808,-0.7960088,0.0,0.0,0.0,3.0,1021.2,848.96704,82.0,0.0,46.0,54.0,0.54222983,0.3,0.70710677,270.0,278.13,2.6,0.15,1.28,0.271,0.289,0.0,0.0,3.8,195.8271,71.289825,124.53728,335.756,195.8271
10,2026-03-07 10:00:00+00:00,4.98,23.0,-14.470042,0.76865053,0.0,0.0,0.0,2.0,1021.3,850.21466,59.0,0.0,60.0,18.0,0.67209554,1.2529964,1.5,298.61035,306.86996,4.3,6.65,1.7299999,0.271,0.288,0.0,0.0,3.9,411.94104,251.59846,160.34256,643.38153,411.94104
11,2026-03-07 11:00:00+00:00,6.68,19.0,-15.362733,2.0417318,0.0,0.0,0.0,1.0,1021.2,851.0626,47.0,0.0,63.0,2.0,0.79524744,1.9723083,2.2022715,300.46545,309.47244,5.7,11.6,2.08,0.271,0.288,0.0,0.0,4.0,588.9389,423.2969,165.64198,785.0968,588.9389
12,2026-03-07 12:00:00+00:00,7.5299997,18.0,-15.312839,3.3949823,0.0,0.0,0.0,2.0,1020.6,851.0242,58.0,0.0,47.0,25.0,0.85333157,2.2825425,2.5,298.8107,306.86996,6.4,13.8,2.1799998,0.271,0.288,0.0,0.0,4.1,699.89136,532.0382,167.8532,822.8679,699.89136
13,2026-03-07 13:00:00+00:00,7.93,18.0,-14.982493,4.1876564,0.0,0.0,0.0,3.0,1019.8,850.5733,82.0,0.0,20.0,68.0,0.8769265,2.3259406,2.6925824,295.46332,301.32864,6.7,14.5,2.23,0.27,0.288,0.0,0.0,4.3,740.78644,570.0987,170.68777,807.5669,740.78644
14,2026-03-07 14:00:00+00:00,8.13,18.0,-14.817358,4.444111,0.0,0.0,0.0,3.0,1019.0,850.01385,99.0,0.0,1.0,100.0,0.8889379,2.236068,2.6925824,296.56497,301.32864,6.8,14.25,2.53,0.27,0.288,0.0,0.0,4.4,712.6381,543.70996,168.92815,762.28046,712.6381
15,2026-03-07 15:00:00+00:00,8.38,18.0,-14.61097,4.2971516,0.0,0.0,0.0,3.0,1018.2,849.481,100.0,0.0,0.0,100.0,0.9041556,2.1633308,2.5612497,303.6901,308.65982,6.7,13.15,3.53,0.27,0.288,0.0,0.0,4.5,613.3303,450.87582,162.45451,674.923,613.3303
