,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,surface_temperature,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,runoff,cape,total_column_integrated_water_vapour,shortwave_radiation_instant,direct_radiation_instant,diffuse_radiation_instant,direct_normal_irradiance_instant,global_tilted_irradiance_instant
0,2026-03-07 00:00:00,-1.5,32.5,-16.0,-6.1,0.0,0.0,0.0,3.0,1022.8,849.4,80.1,0.0,80.0,20.6,0.4,1.9,3.2,103.5,142.3,4.1,-6.0,2.1,0.3,0.3,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0
1,2026-03-07 01:00:00,-1.1,29.6,-16.7,-5.7,0.0,0.0,0.0,2.0,1022.5,849.4,67.4,0.0,42.0,47.7,0.4,1.8,3.0,104.5,143.2,3.9,-5.8,2.1,0.3,0.3,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0
2,2026-03-07 02:00:00,-0.7,27.7,-17.1,-5.2,0.0,0.0,0.0,2.0,1021.9,849.2,61.9,0.0,13.4,69.9,0.4,1.6,2.7,106.7,144.4,3.6,-5.6,2.0,0.3,0.3,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0
3,2026-03-07 03:00:00,-0.1,26.8,-17.0,-4.5,0.0,0.0,0.0,2.0,1020.9,848.6,71.1,0.0,3.4,80.9,0.4,1.4,2.3,105.6,146.9,3.5,-5.7,1.8,0.3,0.3,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0
4,2026-03-07 04:00:00,0.6,26.8,-16.4,-3.8,0.0,0.0,0.0,3.0,1019.6,847.9,87.6,0.0,1.8,86.2,0.5,1.3,1.9,106.9,150.4,3.5,-5.7,1.5,0.3,0.3,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0
5,2026-03-07 05:00:00,1.0,27.8,-15.5,-3.1,0.0,0.0,0.0,3.0,1018.9,847.6,99.6,0.0,4.2,88.4,0.5,1.1,1.5,105.1,155.5,3.3,-5.7,1.3,0.3,0.3,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0
6,2026-03-07 06:00:00,1.0,29.8,-14.8,-3.1,0.0,0.0,0.0,3.0,1019.3,848.0,99.0,0.0,11.0,90.2,0.5,1.0,1.3,112.1,161.1,2.6,-6.0,1.1,0.3,0.3,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0
7,2026-03-07 07:00:00,0.8,31.8,-14.2,-3.2,0.0,0.0,0.0,3.0,1020.2,848.6,97.8,0.0,21.6,88.9,0.4,0.9,0.9,124.4,168.9,1.9,-6.2,1.0,0.3,0.3,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0
8,2026-03-07 08:00:00,1.1,31.8,-13.9,-2.7,0.0,0.0,0.0,3.0,1021.0,849.4,97.2,0.0,32.2,79.9,0.5,0.6,0.7,133.5,196.9,1.7,-4.7,1.0,0.3,0.3,0.0,0.0,3.7,38.7,1.9,36.8,10.8,20.9
9,2026-03-07 09:00:00,2.7,27.9,-14.1,-1.0,0.0,0.0,0.0,3.0,1021.4,850.6,80.1,0.0,44.8,52.6,0.5,0.4,0.8,264.1,271.9,2.7,0.1,1.2,0.3,0.3,0.0,0.0,3.8,195.6,71.2,124.4,335.1,195.6
