,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,surface_temperature,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,runoff,cape,total_column_integrated_water_vapour,shortwave_radiation_instant,direct_radiation_instant,diffuse_radiation_instant,direct_normal_irradiance_instant,global_tilted_irradiance_instant
0,2026-03-07 00:00:00+00:00,-15.7845,69.0,-20.17187,-21.820305,0.0,0.0,0.0,0.0,1031.4,1001.5325,0.0,0.0,0.0,0.0,0.055651583,4.2190046,8.781799,328.5705,329.9315,7.2,-18.1,-13.334499,0.223,0.244,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0
1,2026-03-07 01:00:00+00:00,-16.2845,69.0,-20.65277,-22.29324,0.0,0.0,0.0,0.0,1031.4,1001.4754,0.0,0.0,0.0,0.0,0.053375445,4.1340055,8.558621,327.84772,329.84003,7.1,-18.6,-13.6345,0.223,0.244,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0
2,2026-03-07 02:00:00+00:00,-16.7845,69.0,-21.133713,-22.69335,0.0,0.0,0.0,0.0,1031.3,1001.32086,0.0,0.0,0.0,0.0,0.05118274,3.9115214,8.285529,327.52884,330.34097,6.9,-19.1,-13.9345,0.223,0.244,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0
3,2026-03-07 03:00:00+00:00,-17.484499,70.0,-21.642572,-23.293861,0.0,0.0,0.0,0.0,1031.1,1001.04596,0.0,0.0,0.0,0.0,0.046693146,3.6891732,7.877182,327.17145,331.15744,6.5,-19.85,-14.334499,0.223,0.244,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0
4,2026-03-07 04:00:00+00:00,-18.1845,70.0,-22.317038,-23.82638,0.0,0.0,0.0,0.0,1031.0,1000.8678,0.0,0.0,0.0,0.0,0.043999203,3.3286633,7.4242845,327.26477,332.74475,5.9,-20.65,-14.7345,0.223,0.244,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0
5,2026-03-07 05:00:00+00:00,-18.5845,71.0,-22.541597,-24.116741,0.0,0.0,0.0,0.0,1030.9,1000.7244,0.0,0.0,0.0,0.0,0.041106857,3.1064448,6.88767,326.82147,334.17905,5.4,-20.95,-14.9845,0.223,0.244,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0
6,2026-03-07 06:00:00+00:00,-18.5845,71.0,-22.541597,-24.016481,0.0,0.0,0.0,0.0,1031.1,1000.9185,0.0,0.0,0.0,10.0,0.041106857,2.9154758,6.2649817,329.03632,335.48038,5.0,-20.6,-15.2345,0.223,0.244,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0
7,2026-03-07 07:00:00+00:00,-18.234499,71.0,-22.20384,-23.583988,0.0,0.0,0.0,0.0,1031.4,1001.2505,0.0,0.0,0.0,25.0,0.042353183,2.7784889,5.6462374,329.74365,337.06787,4.6,-19.7,-15.334499,0.223,0.244,0.0,0.0,1.9,48.073082,5.6043186,42.46876,32.28575,25.233059
8,2026-03-07 08:00:00+00:00,-17.3845,70.0,-21.546227,-22.523647,0.0,0.0,0.0,0.0,1031.6,1001.54297,0.0,0.0,0.0,33.0,0.04708972,2.418677,4.661545,330.25522,337.28555,4.2,-18.15,-14.8845,0.223,0.244,0.0,0.0,1.9,166.27684,55.852974,110.423874,292.82724,166.27684
9,2026-03-07 09:00:00+00:00,-15.6345005,69.0,-20.027605,-20.353176,0.0,0.0,0.0,1.0,1031.7,1001.84076,30.0,0.0,0.0,27.0,0.05635102,1.7204651,3.2649658,324.46225,332.6502,3.7,-15.3,-13.4845,0.223,0.244,0.0,0.0,1.9,346.10248,199.38814,146.71432,587.5752,346.10242
10,2026-03-07 10:00:00+00:00,-13.334499,68.0,-17.988789,-17.591871,0.0,0.0,0.0,2.0,1031.7,1002.1006,70.0,0.0,0.0,16.0,0.07029894,1.0,1.7691805,306.86996,317.29062,3.2,-11.8,-11.5345,0.223,0.244,0.0,0.0,1.9,523.15515,370.59177,152.5634,805.51117,523.15515
11,2026-03-07 11:00:00+00:00,-11.334499,67.0,-16.247381,-15.090587,0.0,0.0,0.0,3.0,1031.4,1002.03143,100.0,0.0,0.0,14.0,0.08520809,0.6708204,0.92195445,243.43501,257.4712,3.0,-9.1,-9.7845,0.223,0.244,0.0,0.0,1.9,617.8137,466.64658,151.16713,856.6906,617.8137
12,2026-03-07 12:00:00+00:00,-9.7845,65.0,-15.130705,-13.567519,0.0,0.0,0.0,3.0,1030.5,1001.3267,100.0,0.0,31.0,35.0,0.10222472,1.264911,1.5231546,198.43504,203.19862,3.5,-7.7,-8.3845,0.223,0.244,0.0,0.0,2.1,630.8539,482.54465,148.30927,821.35657,630.8539
