,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,surface_temperature,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,runoff,cape,total_column_integrated_water_vapour,shortwave_radiation_instant,direct_radiation_instant,diffuse_radiation_instant,direct_normal_irradiance_instant,global_tilted_irradiance_instant
0,2026-03-07 00:00:00+00:00,-12.2165,52.0,-20.073238,-17.184494,0.0,0.0,0.0,0.0,1033.7,983.63306,0.0,0.0,0.0,0.0,0.11540261,2.1931713,5.140039,313.1524,322.90707,3.8,-14.3,-8.3665,0.208,0.226,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0
1,2026-03-07 01:00:00+00:00,-12.6165,54.0,-20.009092,-17.582153,0.0,0.0,0.0,0.0,1033.8,983.6536,0.0,0.0,0.0,0.0,0.10708087,2.1931713,5.108816,316.8476,319.7637,3.9,-14.65,-8.7664995,0.208,0.226,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0
2,2026-03-07 02:00:00+00:00,-13.0164995,56.0,-19.962162,-17.98045,0.0,0.0,0.0,0.0,1033.7,983.48346,0.0,0.0,0.0,0.0,0.09916,2.1931713,4.9578223,316.8476,318.27057,3.9,-15.0,-9.1165,0.208,0.226,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0
3,2026-03-07 03:00:00+00:00,-13.7165,59.0,-20.016268,-18.644875,0.0,0.0,0.0,0.0,1033.4,983.0665,0.0,0.0,0.0,0.0,0.08728037,2.1213202,4.5254836,315.0001,315.0001,3.7,-15.75,-9.5164995,0.208,0.226,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0
4,2026-03-07 04:00:00+00:00,-14.4165,61.0,-20.292927,-19.244564,0.0,0.0,0.0,0.0,1033.0,982.55396,0.0,0.0,0.0,0.0,0.07839296,1.9104972,4.0459857,312.8789,309.98682,3.3,-16.5,-9.9165,0.208,0.226,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0
5,2026-03-07 05:00:00+00:00,-14.5665,61.0,-20.435316,-19.364826,0.0,0.0,0.0,0.0,1032.8,982.33545,0.0,0.0,0.0,0.0,0.07743026,1.8439089,3.6619666,310.60123,304.9921,3.2,-16.35,-10.1665,0.208,0.226,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0
6,2026-03-07 06:00:00+00:00,-13.9665,57.0,-20.651606,-18.920628,0.0,0.0,0.0,0.0,1033.0,982.63904,17.0,0.0,6.0,0.0,0.08967668,2.1260293,3.5846896,311.18582,300.1413,3.4,-15.0,-10.3665,0.208,0.226,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0
7,2026-03-07 07:00:00+00:00,-12.8165,50.0,-21.085115,-17.933876,0.0,0.0,0.0,1.0,1033.5,983.3308,42.0,0.0,16.0,1.0,0.11450355,2.408319,3.5846896,311.63345,292.98874,3.8,-12.7,-10.4165,0.208,0.226,0.0,0.0,1.4,31.056454,1.6652371,29.391216,9.5128765,14.1819725
8,2026-03-07 08:00:00+00:00,-11.1665,43.0,-21.296785,-16.192226,0.0,0.0,0.0,2.0,1033.7,983.8278,63.0,0.0,30.0,2.0,0.14905775,2.2203603,3.2984846,305.83774,284.03625,4.3,-9.75,-9.8665,0.208,0.226,0.0,0.0,1.6,141.63826,37.364693,104.273575,210.87735,141.63826
9,2026-03-07 09:00:00+00:00,-8.7664995,35.0,-21.487148,-13.369553,0.0,0.0,0.0,2.0,1033.6,984.17224,77.0,0.0,53.0,4.0,0.2054809,1.4035668,2.4738634,274.08554,255.96373,5.1,-5.55,-8.2664995,0.208,0.226,0.0,0.0,1.9,320.22366,165.80492,154.41875,482.13086,320.2237
