Unnamed: 0,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,terrestrial_radiation,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,boundary_layer_height,wet_bulb_temperature_2m,total_column_integrated_water_vapour
0,2001-01-01 00:00:00,-5.6,82.0,-8.2,-9.3,0.0,0.0,0.0,0.0,2.0,1030.2,877.7,73.0,0.0,8.0,72.0,0.0,0.1,1.1,1.4,236.0,172.0,2.0,-1.2,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,13.5,0.3,0.28,0.28,20.0,-7.0,3.7
1,2001-01-01 01:00:00,-6.4,85.0,-8.6,-10.1,0.0,0.0,0.0,0.0,1.0,1030.2,877.3,38.0,0.0,7.0,37.0,0.0,0.1,1.0,1.2,253.0,185.0,2.2,-1.3,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,13.5,0.3,0.28,0.28,25.0,-7.6,3.7
2,2001-01-01 02:00:00,-6.6,85.0,-8.7,-10.4,0.0,0.0,0.0,0.0,0.0,1029.8,876.8,9.0,0.0,4.0,7.0,0.0,0.1,1.2,1.0,270.0,204.0,2.2,-1.4,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,13.5,0.3,0.28,0.28,25.0,-7.8,3.5
3,2001-01-01 03:00:00,-6.9,85.0,-9.0,-10.7,0.0,0.0,0.0,0.0,0.0,1029.2,876.2,0.0,0.0,0.0,0.0,0.0,0.1,1.2,1.1,279.0,214.0,2.4,-1.4,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,13.5,0.3,0.28,0.28,20.0,-8.0,3.3
4,2001-01-01 04:00:00,-7.0,84.0,-9.3,-10.8,0.0,0.0,0.0,0.0,0.0,1028.8,875.8,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.1,287.0,202.0,2.3,-1.5,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,13.5,0.3,0.28,0.28,20.0,-8.2,3.1
5,2001-01-01 05:00:00,-6.8,80.0,-9.7,-10.4,0.0,0.0,0.0,0.0,0.0,1028.7,875.8,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.6,309.0,180.0,2.2,-1.5,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,13.5,0.3,0.28,0.28,15.0,-8.2,3.0
6,2001-01-01 06:00:00,-6.6,75.0,-10.3,-10.4,0.0,0.0,0.0,0.0,0.0,1029.0,876.1,4.0,4.0,0.0,0.0,0.0,0.1,1.0,0.2,331.0,63.0,1.6,-1.6,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,13.5,0.3,0.28,0.28,15.0,-8.3,2.9
7,2001-01-01 07:00:00,-7.0,75.0,-10.7,-10.6,0.0,0.0,0.0,0.0,0.0,1028.7,875.7,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.8,329.0,104.0,1.3,-1.6,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.9,13.5,0.3,0.28,0.28,15.0,-8.6,2.7
8,2001-01-01 08:00:00,-7.4,75.0,-11.0,-11.2,0.0,0.0,0.0,0.0,0.0,1029.3,876.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.8,333.0,76.0,1.4,-1.7,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.9,13.4,0.3,0.28,0.28,20.0,-9.0,2.5
9,2001-01-01 09:00:00,-7.9,77.0,-11.3,-11.7,0.0,0.0,0.0,0.0,0.0,1030.1,876.4,12.0,12.0,0.0,0.0,0.0,0.1,0.9,1.1,339.0,85.0,1.5,-1.8,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.9,13.4,0.3,0.28,0.28,20.0,-9.5,2.4
10,2001-01-01 10:00:00,-8.3,77.0,-11.6,-12.1,0.0,0.0,0.0,0.0,0.0,1030.8,876.8,11.0,11.0,0.0,0.0,0.0,0.1,0.9,0.9,333.0,77.0,1.6,-1.8,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.8,13.4,0.3,0.28,0.28,20.0,-9.8,2.4
11,2001-01-01 11:00:00,-7.9,74.0,-11.8,-11.5,0.0,0.0,0.0,0.0,0.0,1031.2,877.4,5.0,5.0,0.0,0.0,0.0,0.1,0.5,0.7,323.0,63.0,1.6,-1.9,0.33,24.0,13.0,11.0,142.0,24.0,69.0,-0.0,3.8,13.4,0.3,0.28,0.28,20.0,-9.5,2.3
12,2001-01-01 12:00:00,-5.1,67.0,-10.2,-8.5,0.0,0.0,0.0,0.0,0.0,1031.6,879.2,0.0,0.0,0.0,0.0,0.03,0.1,0.3,0.6,18.0,72.0,2.7,-1.8,0.33,165.0,119.0,46.0,639.0,165.0,263.0,-0.0,3.8,13.4,0.3,0.28,0.28,125.0,-7.2,2.3
13,2001-01-01 13:00:00,-3.0,62.0,-9.2,-6.5,0.0,0.0,0.0,0.0,0.0,1030.8,879.6,0.0,0.0,0.0,0.0,0.09,0.2,0.7,0.7,98.0,106.0,3.3,-1.7,0.33,318.0,254.0,64.0,802.0,318.0,448.0,-0.0,3.8,13.4,0.3,0.28,0.28,205.0,-5.5,2.3
14,2001-01-01 14:00:00,-1.0,54.0,-9.2,-4.8,0.0,0.0,0.0,0.0,0.0,1029.5,879.4,0.0,0.0,0.0,0.0,0.14,0.3,1.1,1.2,105.0,110.0,4.2,-1.5,0.33,435.0,364.0,71.0,891.0,435.0,578.0,-0.0,3.8,13.4,0.3,0.28,0.28,260.0,-4.2,2.3
15,2001-01-01 15:00:00,0.4,43.0,-10.8,-3.6,0.0,0.0,0.0,0.0,0.0,1027.6,878.5,0.0,0.0,0.0,0.0,0.17,0.4,1.3,1.5,113.0,118.0,4.7,-1.4,0.33,496.0,421.0,75.0,924.0,496.0,645.0,-0.0,3.8,13.4,0.3,0.28,0.28,300.0,-3.5,2.3
16,2001-01-01 16:00:00,1.6,40.0,-10.7,-2.5,0.0,0.0,0.0,0.0,0.0,1026.0,877.7,0.0,0.0,0.0,0.0,0.18,0.4,1.5,1.7,113.0,115.0,4.8,-1.3,0.33,495.0,421.0,74.0,925.0,495.0,644.0,-0.0,3.8,13.4,0.3,0.28,0.28,325.0,-2.7,2.3
17,2001-01-01 17:00:00,2.0,40.0,-10.3,-2.1,0.0,0.0,0.0,0.0,0.0,1025.2,877.3,0.0,0.0,0.0,0.0,0.16,0.4,1.6,1.8,108.0,109.0,4.8,-1.2,0.33,433.0,363.0,70.0,892.0,433.0,575.0,-0.0,3.8,13.4,0.3,0.28,0.28,325.0,-2.3,2.4
18,2001-01-01 18:00:00,1.7,42.0,-9.9,-2.3,0.0,0.0,0.0,0.0,0.0,1025.7,877.5,0.0,0.0,0.0,0.0,0.11,0.4,1.3,1.6,99.0,94.0,4.5,-1.1,0.33,315.0,253.0,62.0,807.0,315.0,444.0,-0.0,3.8,13.4,0.3,0.28,0.28,285.0,-2.5,2.5
